2016AsBio..16..259H,ot
2016MNRAS.457.2273O,ed
2016MNRAS.457.2908K,ss
2016MNRAS.457.3724B,ro
2016ApJ...820...41H,ec
2016ApJ...820...56V,ec
2016arXiv160301721B,ed
2016ApJ...817..162S,ss
2016ApJ...818...36P,ed
2016ApJ...818...46M,ec
2016ApJ...818...87S,ec
2016ApJ...818..109A,da
2016ApJ...818L...7G,ec
2016MNRAS.455.3656P,ml
2016MNRAS.456.1137L,da
2016MNRAS.456.2260A,ca
2016A&A...585A..57K,da
2016ApJ...816...21D,eb
2016ApJ...816...69A,yo
2016ApJ...816L..22X,wd
2016ApJS..222...14V,ed
2016MNRAS.455.1237K,va
2016MNRAS.455.2337N,va
2016MNRAS.455L..36P,da
2016IAUFM..29B.620H,as
2016IAUFM..29B.673B,da
2015A&A...584A.128L,eb
2015A&A...584L...8A,eb
2015ApJ...815...47N,ec
2015MNRAS.454.4159H,da
2015MNRAS.454.4267B,ec
2015ApJ...814...62D,eb
2015A&A...582A..33A,ed
2015ApJ...811..102P,ed
2015ApJ...812....2M,va
2015ApJ...812..112S,ed
2015ApJ...812L..11S,ec
2015ApJ...812L..18B,ed
2015EPSC...10..603B,ed
2015MNRAS.452.3561L,eb
2015MNRAS.452.4283M,va
2015MNRAS.453...89B,as
2015MNRAS.453L...6H,ot
2015Natur.526..546V,wd
2015PASP..127.1038C,as
2015SciA....1E0686S,ot
2015A&A...581L...7A,ec
2015AJ....150...85H,ed
2015ApJ...810L...5H,wd
2015ApJ...809...25M,ec
2015ApJ...809L...3S,ga
2015ApJ...809L..29S,ro
2015MNRAS.451.1701H,wd
2015A&A...579A..19A,ca
2015AJ....150...33B,ed
2015ApJ...807....3K,cl
2015MNRAS.451..184C,ot
2015ApJ...806...30L,da
2015ApJ...806..215F,ed
2015ApJ...806L..33A,as
2015ApJ...804...10C,ed
2015ApJ...804L..45P,ss
2015MNRAS.449.3015R,ac
2015AJ....149..149B,ed
2015IJAsB..14..165P,ot
2015MNRAS.448.1378B,va
2015A&A...575A.120B,cl
2015AJ....149..112S,ss
2015MNRAS.447.2880A,da
2015MNRAS.447.3536N,va
2015MNRAS.448L..16B,da
2015ApJ...800...59V,ed
2015arXiv150105360G,as
2014AJ....148..125P,eb
2014arXiv1412.1827V,da
2014arXiv1411.6830A,ca
2014PASP..126..914C,eb
2014PASP..126..948V,da
2014arXiv1410.6379S,ca
2014MNRAS.442.2926R,ac
2014ApJ...789...85H,wd
2014MNRAS.442L..61J,as
2014PASP..126..398H,ot
